,40.0,80.0,120.0,159.0
2018-08-14,2332.49,1825.76,1490.73,1295.06
2018-08-15,2360.0,1859.76,1518.49,1319.18
2018-08-16,2343.64,1839.44,1501.89,1304.76
2018-08-17,2215.5,1682.9,1374.08,1193.72
2018-08-18,2132.32,1591.03,1299.07,1128.56
2018-08-19,2147.08,1606.71,1311.87,1139.68
2018-08-20,2264.55,1741.45,1421.89,1235.26
2018-08-21,2332.49,1825.76,1490.73,1295.06
2018-08-22,2360.0,1859.76,1518.49,1319.18
2018-08-23,2343.64,1839.44,1501.89,1304.76
2018-08-24,2215.5,1682.9,1374.08,1193.72
2018-08-25,2132.33,1591.03,1299.07,1128.56
2018-08-26,2147.07,1606.71,1311.87,1139.68
2018-08-27,2264.54,1741.45,1421.89,1235.26
2018-08-28,2332.49,1825.76,1490.73,1295.06
2018-08-29,2360.0,1859.76,1518.49,1319.18
2018-08-30,2338.09,1832.61,1496.32,1299.92
2018-08-31,2215.5,1682.9,1374.08,1193.72
2018-09-01,2132.33,1591.03,1299.07,1128.56
2018-09-02,2147.07,1606.71,1311.87,1139.68
2018-09-03,2264.55,1741.45,1421.89,1235.26
2018-09-04,2332.49,1825.76,1490.73,1295.06
2018-09-05,2360.0,1859.76,1518.49,1319.18
2018-09-06,2338.09,1832.61,1496.32,1299.92
2018-09-07,2209.03,1675.43,1367.99,1188.43
2018-09-08,2132.33,1591.03,1299.07,1128.56
2018-09-09,2147.07,1606.71,1311.87,1139.68
2018-09-10,2264.55,1741.45,1421.89,1235.26
2018-09-11,2326.84,1818.88,1485.11,1290.18
2018-09-12,2360.0,1859.76,1518.49,1319.18
