"Hotel","fecha","occ","habs_disp","tp","po","pt","te"
"CEINS","2017-01-01",0.220126,159,1274.95,0.954804,0.990233,280.649
"CEINS","2017-01-02",0.207547,159,1694.66,0.994346,1.16954,351.722
"CEINS","2017-01-03",0.264151,159,1634.96,0.750429,1.15258,431.875
"CEINS","2017-01-04",0.377358,159,1693.82,0.874988,1.20633,639.177
"CEINS","2017-01-05",0.314465,159,1703.62,0.85284,1.15493,535.73
"CEINS","2017-01-06",0.201258,159,1227.16,0.726324,0.928152,246.975
"CEINS","2017-01-07",0.251572,159,1192.91,1.04505,0.915121,300.103
"CEINS","2017-01-08",0.339623,159,1313.43,0.956929,0.934979,446.072
"CEINS","2017-01-09",0.622642,159,1562.3,1.11767,1.03037,972.752
"CEINS","2017-01-10",0.603774,159,1754.93,0.899446,1.1253,1059.58
"CEINS","2017-01-11",0.559748,159,1657.72,0.739341,1.07936,927.909
"CEINS","2017-01-12",0.553459,159,1613.85,0.738124,1.05813,893.198
"CEINS","2017-01-13",0.427673,159,1249.11,0.738757,0.921684,534.212
"CEINS","2017-01-14",0.383648,159,1259.14,0.928725,0.970108,483.068
"CEINS","2017-01-15",0.45283,159,1293.44,1.0224,0.935004,585.709
"CEINS","2017-01-16",0.716981,159,1645.14,1.02586,0.986912,1179.53
"CEINS","2017-01-17",0.981132,159,1695.75,1.15009,0.966778,1663.76
"CEINS","2017-01-18",1,159,1659.34,1.13169,0.961062,1659.34
"CEINS","2017-01-19",1,159,1528.52,1.23208,0.910021,1528.52
"CEINS","2017-01-20",0.735849,159,1248.54,1.3005,0.94376,918.734
"CEINS","2017-01-21",0.465409,159,1220.84,0.987557,0.94006,568.192
"CEINS","2017-01-22",0.704403,159,1265.73,1.30182,0.909388,891.58
"CEINS","2017-01-23",0.949686,159,1672.91,1.21585,0.997446,1588.74
"CEINS","2017-01-24",1,159,1685.78,1.10265,1.00466,1685.78
"CEINS","2017-01-25",0.962264,159,1663.01,1.07048,0.961876,1600.25
"CEINS","2017-01-26",1,159,1690.79,1.08097,0.996225,1690.79
"CEINS","2017-01-27",0.792453,159,1251.09,1.14097,0.875225,991.43
"CEINS","2017-01-28",0.534591,159,1218.24,1.06841,0.954843,651.258
"CEINS","2017-01-29",0.893082,159,1267.96,1.55638,0.918256,1132.39
"CEINS","2017-01-30",0.792453,159,1607.46,1.11871,0.991226,1273.84
"CEINS","2017-01-31",0.823899,159,1596.47,1.09987,0.977721,1315.33
"CEINS","2017-02-01",0.968553,159,1616.93,1.15906,1.01056,1566.08
"CEINS","2017-02-02",0.855346,159,1608.28,1.20874,0.98597,1375.64
"CEINS","2017-02-03",0.647799,159,1233.52,1.35574,0.921112,799.074
"CEINS","2017-02-04",0.666667,159,1181.25,1.26263,0.954603,787.498
"CEINS","2017-02-05",0.421384,159,1159.04,1.00243,0.868,488.401
"CEINS","2017-02-06",0.597484,159,1423.3,1.15385,0.916957,850.399
"CEINS","2017-02-07",1,159,1439.7,1.19151,0.894578,1439.7
"CEINS","2017-02-08",1,159,1677.01,1.10709,0.985142,1677.01
"CEINS","2017-02-09",0.993711,159,1750.73,1.00689,1.05435,1739.72
"CEINS","2017-02-10",0.647799,159,1305.66,0.794579,1.03125,845.803
"CEINS","2017-02-11",0.515723,159,1296.85,0.870085,0.999255,668.813
"CEINS","2017-02-12",0.710692,159,1400,1.1376,1.00282,994.968
"CEINS","2017-02-13",0.849057,159,1648.73,1.04144,1.01864,1399.87
"CEINS","2017-02-14",0.893082,159,1726.68,0.997553,1.05805,1542.06
