"plaza","hotel","valor"
"CEAGU","Fiesta Inn",4.5
"CEAGU","Hampton Inn",4.8
"CEAGU","Mision Sur",3.5
"CEAGU","One Industrial",3.7
"CEAGU","One San Marcos",3.85
"CEAGU","QUINTA INN",4.35
"CEALM","Zocalo Central",2.3
"CEALM","One Alameda",3.15
"CEALM","NH Centro Historico",3.05
"CEALM","Ibis Alameda",2.75
"CEALM","Fiesta Inn Alameda",4.25
"CEALM","Best Western Majestik",2
"CEANG","Galeria Plaza",4.25
"CEANG","HIE",4.5
"CEANG","NH Collection",4.6
"CEANG","Marriot Zona Rosa",4.7
"CEANG","Sheraton Maria Isabel",4.7
"CEBNV","Ramada",3.35
"CEBNV","Holiday Inn",4.7
"CEBNV","Casa Blanca",3.2
"CECEA","Fiesta Inn Plaza Central",4.45
"CECEA","Krystal Urban",4.45
"CECEG","Real Inn",4.7
"CECEG","Holiday Inn Express",4.65
"CECEG","Casa Inn",4.45
"CECEG","CECEL",3.85
"CECEG","Fiesta Inn",4.8
"CECEL","Fiesta Inn",3.9
"CECEL","CECEG",4
"CECEL","Casa Inn",3.95
"CECEL","Casa Inn Galerias",4.3
"CECEL","Casa Real",0
"CECEL","Holiday inn Express Y Suites",4.3
"CECEL","Wyndham Garden Hotel",4.3
"CECEL","One",2.9
"CECEN","Gamma",3.65
"CECEN","Fiesta Inn",4.65
"CECJS","Fiesta Inn",3.95
"CECJS","Hampton Inn",3.9
"CECJS","Maria Bonita",2.9
"CECJS","I Stay",3.05
"CECLO","Ms Chipichape",3.25
"CECLO","Torre de Cali",0
"CECLO","Hampton Inn",4.25
"CECLO","Cosmos Cali",3.6
"CECMA","Camino Real Aeropuerto",4.65
"CECMA","Fiesta Inn Aeropuerto",4.75
"CECMA","HIE Aeropuerto",4.3
"CECMA","H.I. Dali Aeropuerto",4.5
"CECMA","Ramada",4.2
"CECMA","NH Collection Aeropuerto",4.9
"CECME","One",3.25
"CECME","La Venta",3.5
"CECME","Holiday Inn Express",4.1
"CECME","Fiesta Inn",4.25
"CECOA","Fiesta inn",3.45
"CECOA","Best Western",2.2
"CECOA","ONE",2.55
"CECOA","NH",2.85
"CECSL","Los Patios",4
"CECSL","Quinta del Sol",4.35
"CECSL","Seven Crown",3.55
"CECSL","Ameyal",3.6
"CECSL","Holiday Inn Express",4.6
"CECTM","Capital Plaza",2.85
"CECTM","Fiesta Inn",4.4
"CECTM","Hotel Los Cocos",2.75
"CECUL","IBIS",2.7
"CECUL","Microtel",3.5
"CECUL","One",3.15
"CECUL","San Marcos",3.7
"CECUL","Sleep Inn",2.7
"CECUL","Fiesta Inn",4.15
"CECUL","Holiday Inn Express",3.55
"CECUL","Wyndham Ejecutivo",3.65
"CECUN","Fiesta Inn",4.7
"CECUN","Adara",4
"CECUN","Ramada",3.55
"CECUN","La quinta",3.9
"CECUU","Microtel",0
"CECUU","Quality inn",0
"CECUU","Palacio del Sol",0
"CECUU","Sicomoro",0
"CECUU","Casa Grande Aeropuerto",0
"CECVM","Best Western",2.75
"CECVM","Hampton Inn",3.9
"CECVM","Ramada",2.9
"CECVM","Istay",4.05
"CEDGO","Mision Express",2.6
"CEDGO","One",2.55
"CEDGO","Victoria Express",2.6
"CEDGO","Holiday Inn",2.9
"CEDGO","Best Western",2.85
"CEDGO","Fiesta Inn",2.9
"CEEBC","HIE",4.75
"CEEBC","Geneve",0
"CEEBC","Royal",4.55
"CEEBC","NH Collection",4.75
"CEEBC","Mision Zona Rosa",4.35
"CEEBC","Marcopolo",0
"CEEBC","Holiday Inn Zona Rosa",4.55
"CEEGD","Holiday Inn Guadalajara Expo",3.35
"CEEGD","Ibis",2.55
"CEEGD","Riu",4.45
"CEEGD","Select",0
"CEEGD","Real Inn",3.75
"CEEGD","Plaza Expo",3.4
"CEEGD","Suites Carolina",0
"CEEGD","Wyndham",2.6
"CEEGD","Hilton",4.55
"CEEGD","Holiday Inn Expo",3.5
"CEEGD","Fiesta Inn",3.85
"CEEGD","Arriva Express",4.2
"CEGDA","City Junior Guadalajara Periferico",3.65
"CEGDA","Holiday Inn Aeropuerto",4.65
"CEGDA","Hampton Inn Aeropuerto",4.45
"CEGDA","One Tapatio",3.5
"CEGDP","Ramada Encore",4.45
"CEGDP","Holiday Inn ITESO",4.55
"CEHMO","Hotel Colonial",3.2
"CEHMO","Ibis",2.2
"CEHMO","Lucerna",4.2
"CEHMO","Holiday Inn",4
"CEHMO","Hampton Inn",4.25
"CEHMO","Fiesta Inn",3.7
"CEHMO","Araiza",3.8
"CEINS","City Express Patio Universidad",4.85
"CEINS","COURTYARD",4.8
"CEINS","Diplomatico",4.55
"CEINS","Fiesta Inn Insurgentes Viaducto",4.9
"CEINS","Fiesta Inn Teatro de Los Insurgentes",4.85
"CEINS","Holiday Inn Plaza Universidad",4.9
"CEINS","Holiday Inn Revolucion",4.85
"CEINS","One Patriotismo",4.5
"CEIRA","One",3.55
"CEIRA","Wyndham",4.1
"CEIRA","Holiday Inn",4.85
"CEIRA","CE Irapuato Norte",4.15
"CEIRA","Casa Inn",4.6
"CEIRN","City Express Irapuato",4.3
