Id_Origen,Descripcion,Descripcion_Canal,Tipo_Canal,INTERNO/EXTERNO
001,CONTACT CENTER,CONTACT CENTER,NO ELECTRONICO,BookDirect
002,GDS,GDS,ELECTRONICO,Externo
003,OTA'S,OTA'S,ELECTRONICO,Externo
004,E- MAIL,E - MAIL,ELECTRONICO,BookDirect
005,CHAT EN LINEA,CHAT EN LINEA,ELECTRONICO,BookDirect
006,RED SOC: FACEBOOK/TWITTER,REDES SOCIALES,ELECTRONICO,BookDirect
007,MOBILE APP,APP MOBILE,ELECTRONICO,BookDirect
008,PORTAL DE NEGOCIOS,PORTAL DE NEGOCIOS,ELECTRONICO,BookDirect
009,CORTESIAS / USO CASA,CORTESIAS / USO CASA,NO ELECTRONICO,BookDirect
010,GRUPOS,GRUPOS,NO ELECTRONICO,BookDirect
011,LINEA AEREA,LINEA AEREA,NO ELECTRONICO,BookDirect
012,WALK IN,WALK IN,NO ELECTRONICO,BookDirect
013,HOTEL,HOTEL,NO ELECTRONICO,BookDirect
014,CITYACCESS,CITYACCESS,ELECTRONICO,BookDirect
015,CITY PREMIOS,CITY PREMIOS,ELECTRONICO,BookDirect
017,WEBSITE MOVIL,WEBSITE MOVIL,ELECTRONICO,BookDirect
020,Grupos,GRUPOS,NO ELECTRONICO,BookDirect
021,PASSBOOK,PASSBOOK,ELECTRONICO,BookDirect
CAWEB     ,CityAccess Web,CITYACCESS WEB,ELECTRONICO,BookDirect
HOUSE     ,HOUSE,HOUSE,NO ELECTRONICO,BookDirect
INT       ,INTERNET,INTERNET,ELECTRONICO,BookDirect
FLRP,Reproceso de reservas FlowLink,Reproceso de reservas FlowLink,ELECTRONICO,Externo
TRIVINT,TRIVAGO,TRIVAGO,ELECTRONICO,Externo
KAYAKINT,KAYAK,KAYAK,ELECTRONICO,Externo
FLRPGDS,Reproceso de reservas FlowLink GDS,Reproceso de reservas FlowLink GDS,ELECTRONICO,Externo
022,DIGITAL,DIGITAL,ELECTRONICO,BookDirect
ADVISORINT,ADVISORINT Internet,INTERNET,ELECTRONICO,Externo
