"id","hotel_id","hotel_clave","fecha","eventos"
40775,1,"CEINS","2017-12-31",0
40774,1,"CEINS","2017-12-30",0
40773,1,"CEINS","2017-12-29",0
40772,1,"CEINS","2017-12-28",0
40771,1,"CEINS","2017-12-27",0
40770,1,"CEINS","2017-12-26",0
40769,1,"CEINS","2017-12-25",0
40768,1,"CEINS","2017-12-24",0
40767,1,"CEINS","2017-12-23",0
40766,1,"CEINS","2017-12-22",0
40765,1,"CEINS","2017-12-21",0
40764,1,"CEINS","2017-12-20",0
40763,1,"CEINS","2017-12-19",0
40762,1,"CEINS","2017-12-18",0
40761,1,"CEINS","2017-12-17",0
40760,1,"CEINS","2017-12-16",0
40759,1,"CEINS","2017-12-15",0
40758,1,"CEINS","2017-12-14",0
40757,1,"CEINS","2017-12-13",0
40756,1,"CEINS","2017-12-12",0
40755,1,"CEINS","2017-12-11",0
40754,1,"CEINS","2017-12-10",0
40753,1,"CEINS","2017-12-09",0
40752,1,"CEINS","2017-12-08",0
40751,1,"CEINS","2017-12-07",0
40750,1,"CEINS","2017-12-06",0
40749,1,"CEINS","2017-12-05",0
40748,1,"CEINS","2017-12-04",0
40747,1,"CEINS","2017-12-03",0
40746,1,"CEINS","2017-12-02",0
40745,1,"CEINS","2017-12-01",0
40744,1,"CEINS","2017-11-30",0
40743,1,"CEINS","2017-11-29",0
40742,1,"CEINS","2017-11-28",0
40741,1,"CEINS","2017-11-27",0
40740,1,"CEINS","2017-11-26",0
40739,1,"CEINS","2017-11-25",0
40738,1,"CEINS","2017-11-24",0
40737,1,"CEINS","2017-11-23",0
40736,1,"CEINS","2017-11-22",0
40735,1,"CEINS","2017-11-21",0
40734,1,"CEINS","2017-11-20",0
40733,1,"CEINS","2017-11-19",0
40732,1,"CEINS","2017-11-18",0
40731,1,"CEINS","2017-11-17",0
40730,1,"CEINS","2017-11-16",0
40729,1,"CEINS","2017-11-15",0
40728,1,"CEINS","2017-11-14",0
40727,1,"CEINS","2017-11-13",0
40726,1,"CEINS","2017-11-12",0
40725,1,"CEINS","2017-11-11",0
40724,1,"CEINS","2017-11-10",0
40723,1,"CEINS","2017-11-09",0
40722,1,"CEINS","2017-11-08",0
40721,1,"CEINS","2017-11-07",0
40720,1,"CEINS","2017-11-06",0
40719,1,"CEINS","2017-11-05",0
40718,1,"CEINS","2017-11-04",0
40717,1,"CEINS","2017-11-03",0
40716,1,"CEINS","2017-11-02",0
40715,1,"CEINS","2017-11-01",0
40714,1,"CEINS","2017-10-31",0
40713,1,"CEINS","2017-10-30",2
40712,1,"CEINS","2017-10-29",2
40711,1,"CEINS","2017-10-28",0
40710,1,"CEINS","2017-10-27",0
40709,1,"CEINS","2017-10-26",0
40708,1,"CEINS","2017-10-25",0
40707,1,"CEINS","2017-10-24",0
40706,1,"CEINS","2017-10-23",0
40705,1,"CEINS","2017-10-22",0
40704,1,"CEINS","2017-10-21",0
40703,1,"CEINS","2017-10-20",0
40702,1,"CEINS","2017-10-19",0
40701,1,"CEINS","2017-10-18",0
40700,1,"CEINS","2017-10-17",0
40699,1,"CEINS","2017-10-16",0
40698,1,"CEINS","2017-10-15",0
40697,1,"CEINS","2017-10-14",0
40696,1,"CEINS","2017-10-13",0
40695,1,"CEINS","2017-10-12",0
40694,1,"CEINS","2017-10-11",0
40693,1,"CEINS","2017-10-10",0
40692,1,"CEINS","2017-10-09",0
40691,1,"CEINS","2017-10-08",0
40690,1,"CEINS","2017-10-07",0
40689,1,"CEINS","2017-10-06",0
40688,1,"CEINS","2017-10-05",0
40687,1,"CEINS","2017-10-04",0
40686,1,"CEINS","2017-10-03",0
40685,1,"CEINS","2017-10-02",0
40684,1,"CEINS","2017-10-01",0
40683,1,"CEINS","2017-09-30",0
40682,1,"CEINS","2017-09-29",0
40681,1,"CEINS","2017-09-28",0
40680,1,"CEINS","2017-09-27",0
40679,1,"CEINS","2017-09-26",0
40678,1,"CEINS","2017-09-25",0
40677,1,"CEINS","2017-09-24",0
40676,1,"CEINS","2017-09-23",0
40675,1,"CEINS","2017-09-22",0
40674,1,"CEINS","2017-09-21",0
40673,1,"CEINS","2017-09-20",0
40672,1,"CEINS","2017-09-19",0
40671,1,"CEINS","2017-09-18",0
40670,1,"CEINS","2017-09-17",0
40669,1,"CEINS","2017-09-16",0
40668,1,"CEINS","2017-09-15",0
40667,1,"CEINS","2017-09-14",0
40666,1,"CEINS","2017-09-13",0
40665,1,"CEINS","2017-09-12",0
40664,1,"CEINS","2017-09-11",0
40663,1,"CEINS","2017-09-10",0
40662,1,"CEINS","2017-09-09",0
40661,1,"CEINS","2017-09-08",0
40660,1,"CEINS","2017-09-07",0
40659,1,"CEINS","2017-09-06",0
40658,1,"CEINS","2017-09-05",0
40657,1,"CEINS","2017-09-04",0
40656,1,"CEINS","2017-09-03",0
40655,1,"CEINS","2017-09-02",0
40654,1,"CEINS","2017-09-01",0
40653,1,"CEINS","2017-08-31",0
40652,1,"CEINS","2017-08-30",0
40651,1,"CEINS","2017-08-29",0
40650,1,"CEINS","2017-08-28",0
40649,1,"CEINS","2017-08-27",2
40648,1,"CEINS","2017-08-26",2
40647,1,"CEINS","2017-08-25",0
40646,1,"CEINS","2017-08-24",0
40645,1,"CEINS","2017-08-23",0
40644,1,"CEINS","2017-08-22",0
40643,1,"CEINS","2017-08-21",0
40642,1,"CEINS","2017-08-20",0
40641,1,"CEINS","2017-08-19",0
40640,1,"CEINS","2017-08-18",0
40639,1,"CEINS","2017-08-17",0
40638,1,"CEINS","2017-08-16",0
40637,1,"CEINS","2017-08-15",0
40636,1,"CEINS","2017-08-14",0
40635,1,"CEINS","2017-08-13",0
40634,1,"CEINS","2017-08-12",0
40633,1,"CEINS","2017-08-11",0
40632,1,"CEINS","2017-08-10",0
40631,1,"CEINS","2017-08-09",0
40630,1,"CEINS","2017-08-08",0
40629,1,"CEINS","2017-08-07",0
40628,1,"CEINS","2017-08-06",0
40627,1,"CEINS","2017-08-05",0
40626,1,"CEINS","2017-08-04",0
40625,1,"CEINS","2017-08-03",0
40624,1,"CEINS","2017-08-02",0
40623,1,"CEINS","2017-08-01",0
40622,1,"CEINS","2017-07-31",0
40621,1,"CEINS","2017-07-30",0
40620,1,"CEINS","2017-07-29",0
40619,1,"CEINS","2017-07-28",0
40618,1,"CEINS","2017-07-27",0
40617,1,"CEINS","2017-07-26",0
40616,1,"CEINS","2017-07-25",0
40615,1,"CEINS","2017-07-24",0
40614,1,"CEINS","2017-07-23",0
40613,1,"CEINS","2017-07-22",0
40612,1,"CEINS","2017-07-21",0
40611,1,"CEINS","2017-07-20",0
40610,1,"CEINS","2017-07-19",0
40609,1,"CEINS","2017-07-18",0
40608,1,"CEINS","2017-07-17",0
40607,1,"CEINS","2017-07-16",0
40606,1,"CEINS","2017-07-15",0
40605,1,"CEINS","2017-07-14",0
40604,1,"CEINS","2017-07-13",0
40603,1,"CEINS","2017-07-12",0
40602,1,"CEINS","2017-07-11",0
40601,1,"CEINS","2017-07-10",0
40600,1,"CEINS","2017-07-09",0
40599,1,"CEINS","2017-07-08",0
40598,1,"CEINS","2017-07-07",0
40597,1,"CEINS","2017-07-06",0
40596,1,"CEINS","2017-07-05",0
40595,1,"CEINS","2017-07-04",0
40594,1,"CEINS","2017-07-03",0
40593,1,"CEINS","2017-07-02",0
40592,1,"CEINS","2017-07-01",0
40591,1,"CEINS","2017-06-30",0
40590,1,"CEINS","2017-06-29",0
40589,1,"CEINS","2017-06-28",0
40588,1,"CEINS","2017-06-27",0
40587,1,"CEINS","2017-06-26",0
40586,1,"CEINS","2017-06-25",0
40585,1,"CEINS","2017-06-24",0
40584,1,"CEINS","2017-06-23",0
40583,1,"CEINS","2017-06-22",0
40582,1,"CEINS","2017-06-21",0
40581,1,"CEINS","2017-06-20",0
40580,1,"CEINS","2017-06-19",0
40579,1,"CEINS","2017-06-18",0
40578,1,"CEINS","2017-06-17",0
40577,1,"CEINS","2017-06-16",0
40576,1,"CEINS","2017-06-15",0
40575,1,"CEINS","2017-06-14",0
40574,1,"CEINS","2017-06-13",0
40573,1,"CEINS","2017-06-12",0
40572,1,"CEINS","2017-06-11",0
40571,1,"CEINS","2017-06-10",0
40570,1,"CEINS","2017-06-09",0
40569,1,"CEINS","2017-06-08",0
40568,1,"CEINS","2017-06-07",0
40567,1,"CEINS","2017-06-06",0
40566,1,"CEINS","2017-06-05",0
40565,1,"CEINS","2017-06-04",0
40564,1,"CEINS","2017-06-03",0
40563,1,"CEINS","2017-06-02",0
40562,1,"CEINS","2017-06-01",0
40561,1,"CEINS","2017-05-31",0
40560,1,"CEINS","2017-05-30",0
40559,1,"CEINS","2017-05-29",0
40558,1,"CEINS","2017-05-28",0
40557,1,"CEINS","2017-05-27",0
40556,1,"CEINS","2017-05-26",0
40555,1,"CEINS","2017-05-25",0
40554,1,"CEINS","2017-05-24",0
40553,1,"CEINS","2017-05-23",0
40552,1,"CEINS","2017-05-22",0
40551,1,"CEINS","2017-05-21",0
40550,1,"CEINS","2017-05-20",0
40549,1,"CEINS","2017-05-19",0
40548,1,"CEINS","2017-05-18",0
40547,1,"CEINS","2017-05-17",0
40546,1,"CEINS","2017-05-16",0
40545,1,"CEINS","2017-05-15",0
40544,1,"CEINS","2017-05-14",0
40543,1,"CEINS","2017-05-13",0
40542,1,"CEINS","2017-05-12",0
40541,1,"CEINS","2017-05-11",0
40540,1,"CEINS","2017-05-10",0
40539,1,"CEINS","2017-05-09",0
40538,1,"CEINS","2017-05-08",0
40537,1,"CEINS","2017-05-07",0
40536,1,"CEINS","2017-05-06",0
40535,1,"CEINS","2017-05-05",0
40534,1,"CEINS","2017-05-04",0
40533,1,"CEINS","2017-05-03",0
40532,1,"CEINS","2017-05-02",0
40531,1,"CEINS","2017-05-01",0
40530,1,"CEINS","2017-04-30",0
40529,1,"CEINS","2017-04-29",0
40528,1,"CEINS","2017-04-28",0
40527,1,"CEINS","2017-04-27",0
40526,1,"CEINS","2017-04-26",0
40525,1,"CEINS","2017-04-25",0
40524,1,"CEINS","2017-04-24",0
40523,1,"CEINS","2017-04-23",0
40522,1,"CEINS","2017-04-22",0
40521,1,"CEINS","2017-04-21",0
40520,1,"CEINS","2017-04-20",0
40519,1,"CEINS","2017-04-19",0
40518,1,"CEINS","2017-04-18",0
40517,1,"CEINS","2017-04-17",0
40516,1,"CEINS","2017-04-16",0
40515,1,"CEINS","2017-04-15",0
40514,1,"CEINS","2017-04-14",0
40513,1,"CEINS","2017-04-13",0
40512,1,"CEINS","2017-04-12",0
40511,1,"CEINS","2017-04-11",0
40510,1,"CEINS","2017-04-10",0
40509,1,"CEINS","2017-04-09",0
40508,1,"CEINS","2017-04-08",0
40507,1,"CEINS","2017-04-07",0
40506,1,"CEINS","2017-04-06",0
40505,1,"CEINS","2017-04-05",0
40504,1,"CEINS","2017-04-04",0
40503,1,"CEINS","2017-04-03",0
40502,1,"CEINS","2017-04-02",0
40501,1,"CEINS","2017-04-01",0
40500,1,"CEINS","2017-03-31",0
40499,1,"CEINS","2017-03-30",0
40498,1,"CEINS","2017-03-29",0
40497,1,"CEINS","2017-03-28",0
40496,1,"CEINS","2017-03-27",0
40495,1,"CEINS","2017-03-26",0
40494,1,"CEINS","2017-03-25",0
40493,1,"CEINS","2017-03-24",0
40492,1,"CEINS","2017-03-23",0
40491,1,"CEINS","2017-03-22",0
40490,1,"CEINS","2017-03-21",0
40489,1,"CEINS","2017-03-20",0
40488,1,"CEINS","2017-03-19",0
40487,1,"CEINS","2017-03-18",0
40486,1,"CEINS","2017-03-17",0
40485,1,"CEINS","2017-03-16",0
40484,1,"CEINS","2017-03-15",0
40483,1,"CEINS","2017-03-14",0
40482,1,"CEINS","2017-03-13",0
40481,1,"CEINS","2017-03-12",0
40480,1,"CEINS","2017-03-11",0
40479,1,"CEINS","2017-03-10",0
40478,1,"CEINS","2017-03-09",0
40477,1,"CEINS","2017-03-08",0
40476,1,"CEINS","2017-03-07",0
40475,1,"CEINS","2017-03-06",0
40474,1,"CEINS","2017-03-05",0
40473,1,"CEINS","2017-03-04",0
40472,1,"CEINS","2017-03-03",0
40471,1,"CEINS","2017-03-02",0
40470,1,"CEINS","2017-03-01",0
40469,1,"CEINS","2017-02-28",0
40468,1,"CEINS","2017-02-27",0
40467,1,"CEINS","2017-02-26",0
40466,1,"CEINS","2017-02-25",0
40465,1,"CEINS","2017-02-24",0
40464,1,"CEINS","2017-02-23",0
40463,1,"CEINS","2017-02-22",0
40462,1,"CEINS","2017-02-21",0
40461,1,"CEINS","2017-02-20",0
40460,1,"CEINS","2017-02-19",0
40459,1,"CEINS","2017-02-18",0
40458,1,"CEINS","2017-02-17",0
40457,1,"CEINS","2017-02-16",0
