Hotel,fecha,occ,habs_disp,tp,po,pt,te
CEINS,2013-01-01,0.194969,159,1100.34,0.930938,1.15998,214.531
CEINS,2013-01-02,0.245283,159,1045.75,0.921469,1.12549,256.506
CEINS,2013-01-03,0.283019,159,1022.09,0.980766,1.03368,289.27
CEINS,2013-01-04,0.251572,159,1017.4,0.947943,1.10197,255.95
CEINS,2013-01-05,0.27044,159,1027.94,1.15863,1.10918,277.996
CEINS,2013-01-06,0.232704,159,1035.96,1.16445,1.01171,241.072
CEINS,2013-01-07,0.427673,159,1061.45,1.15555,1.02932,453.953
CEINS,2013-01-08,0.433962,159,1073.82,0.940878,1.03793,465.997
CEINS,2013-01-09,0.622642,159,1075.64,1.0358,1.17607,669.741
CEINS,2013-01-10,0.798742,159,1085.79,1.1592,1.02847,867.268
CEINS,2013-01-11,0.440252,159,1083.64,0.884036,1.08735,477.075
CEINS,2013-01-12,0.320755,159,1050.57,0.924572,1.13166,336.974
CEINS,2013-01-13,0.333333,159,1038.56,0.896774,1.0309,346.186
CEINS,2013-01-14,0.660377,159,1044.24,1.04178,1.03062,689.594
CEINS,2013-01-15,0.742138,159,1059.03,0.950271,1.00917,785.947
CEINS,2013-01-16,0.91195,159,1072.8,1.07729,1.01814,978.342
CEINS,2013-01-17,0.987421,159,1070.36,1.249,1.01478,1056.89
CEINS,2013-01-18,0.685535,159,1066.12,1.06535,1.06237,730.862
CEINS,2013-01-19,0.578616,159,1019.02,0.963847,1.0824,589.619
CEINS,2013-01-20,0.509434,159,1025.03,0.980464,1.01184,522.184
CEINS,2013-01-21,0.761006,159,1044.07,1.01711,1.02241,794.545
CEINS,2013-01-22,1,159,1057.29,1.18578,1.01305,1057.29
CEINS,2013-01-23,1,159,1049.53,1.125,1.00196,1049.53
CEINS,2013-01-24,0.823899,159,1054.46,0.986314,0.99556,868.769
CEINS,2013-01-25,0.685535,159,1024.85,1.08147,1.02429,702.573
CEINS,2013-01-26,0.572327,159,974.825,1.10491,1.06634,557.919
CEINS,2013-01-27,0.528302,159,985.094,1.05576,0.954891,520.427
CEINS,2013-01-28,0.748428,159,1024.03,0.949577,0.978136,766.411
CEINS,2013-01-29,0.949686,159,1053.12,1.07419,0.978874,1000.13
CEINS,2013-01-30,1,159,1049.44,1.11299,0.94946,1049.44
CEINS,2013-01-31,1,159,1063.79,1.24354,0.94901,1063.79
CEINS,2013-02-01,0.666667,159,1035.84,1.37624,1.0206,690.559
CEINS,2013-02-02,0.515723,159,994.135,1.05248,1.02248,512.698
CEINS,2013-02-03,0.578616,159,1041.18,1.38403,1.03377,602.443
CEINS,2013-02-04,0.72956,159,1026,1.35614,0.964004,748.529
CEINS,2013-02-05,0.974843,159,1010.93,1.18057,0.98096,985.493
CEINS,2013-02-06,1,159,1035.54,1.13008,0.968496,1035.54
CEINS,2013-02-07,1,159,1045.89,1.10904,0.934867,1045.89
CEINS,2013-02-08,0.830189,159,1003.76,1.11674,1.00692,833.31
CEINS,2013-02-09,0.679245,159,1011.07,1.21045,1.04071,686.765
CEINS,2013-02-10,0.735849,159,1008.36,1.22413,0.980326,742.004
CEINS,2013-02-11,0.943396,159,1061.89,1.05092,1.00303,1001.78
CEINS,2013-02-12,1,159,1070.44,1.05126,1.00812,1070.44
CEINS,2013-02-13,1,159,1040.51,1.12399,0.989477,1040.51
CEINS,2013-02-14,1,159,1035.24,1.13315,0.961915,1035.24
CEINS,2013-02-15,0.836478,159,1016.78,1.17709,1.02461,850.51
CEINS,2013-02-16,0.748428,159,1045.63,1.23683,1.08188,782.577
CEINS,2013-02-17,0.515723,159,974.354,0.893587,0.961607,502.497
CEINS,2013-02-18,0.710692,159,962.205,0.853239,0.934835,683.832
CEINS,2013-02-19,0.91195,159,1040.06,1.02779,0.994622,948.485
CEINS,2013-02-20,1,159,1107.46,1.04424,1.00094,1107.46
CEINS,2013-02-21,1,159,1089.15,1.03817,1.00236,1089.15
CEINS,2013-02-22,0.955975,159,1089.77,1.3142,1.0921,1041.79
CEINS,2013-02-23,0.81761,159,1069.51,1.34938,1.1526,874.442
CEINS,2013-02-24,0.484277,159,1042.71,1.00972,1.01891,504.962
CEINS,2013-02-25,0.786164,159,1036.91,1.16527,1.00622,815.177
CEINS,2013-02-26,0.993711,159,1029.64,1.21995,0.987965,1023.16
CEINS,2013-02-27,1,159,1035.63,1.20173,0.958144,1035.63
CEINS,2013-02-28,1,159,1014.32,1.15941,0.932198,1014.32
CEINS,2013-03-01,0.811321,159,1011.17,1.23776,0.99872,820.385
CEINS,2013-03-02,0.874214,159,1039.11,1.49201,1.01984,908.408
CEINS,2013-03-03,0.874214,159,1012.17,1.56235,0.960273,884.855
CEINS,2013-03-04,1,159,1024.02,1.26109,0.958319,1024.02
CEINS,2013-03-05,1,159,1009.79,1.17355,0.886857,1009.79
CEINS,2013-03-06,1,159,1027.98,1.02122,0.938708,1027.98
CEINS,2013-03-07,1,159,993.958,1.02122,0.88251,993.958
CEINS,2013-03-08,1,159,997.182,1.09545,0.970174,997.182
CEINS,2013-03-09,0.672956,159,1002.71,1.08209,0.998491,674.778
CEINS,2013-03-10,0.672956,159,995.561,1.07932,0.900288,669.969
CEINS,2013-03-11,1,159,1036.16,1.04337,0.933681,1036.16
CEINS,2013-03-12,1,159,1070.59,1.02122,0.95512,1070.59
CEINS,2013-03-13,1,159,1055.86,1.02122,0.934521,1055.86
