,40.0,60.0,20.0,80.0
2018-01-01,874.0001079187252,742.9670248364118,1285.2884223331978,643.4283176862173
2018-01-02,1332.4657179789808,1095.4451149917588,1603.7345042325935,948.6832980504976
2018-01-03,1309.859693526455,1073.3126291781934,1592.429976903846,929.5160030897608
2018-01-04,1451.1448462829471,1239.354670785992,1663.0725487139518,1073.312629199889
2018-01-05,1198.8352813426775,979.7958970685786,1535.9159194527351,848.5281374238388
2018-01-06,1244.1752332715234,1015.8740079075142,1559.57325777164,879.772697916898
2018-01-07,1154.1164946614078,942.3375191000802,1508.4223118834327,816.0882305240581
2018-01-08,1422.8873498345915,1199.999999997001,1648.9429592809417,1039.2304845413141
2018-01-09,1603.7345271020274,1549.1933384824163,1739.3689000141908,1341.6407864998732
2018-01-10,1589.4551414641187,1509.966887053402,1732.2272929241942,1307.6696830622016
2018-01-11,1548.1709828918865,1411.382301148177,1711.584548541749,1222.292927247801
2018-01-12,1518.0699626380474,1350.5554412887395,1696.5357695633786,1169.615321377072
2018-01-13,1566.7406255134608,1453.2721699652798,1720.8692862377122,1258.5706178041817
2018-01-14,1481.858874096857,1286.8566353707438,1678.4293785568889,1114.4505372603955
2018-01-15,1600.9940253805312,1541.4279094392768,1737.9982817657346,1334.915727677219
2018-01-16,1647.042944295142,1689.9704139417738,1761.020423720877,1463.5573101180562
2018-01-17,1667.927042817177,1773.1328207439406,1771.4645077925397,1535.5780670483673
2018-01-18,1676.9962208463448,1813.2843130626834,1775.99924291135,1570.350279396288
2018-01-19,1595.3435267116545,1525.7784898203424,1735.172274934746,1321.362932732714
2018-01-20,1656.2367267709478,1725.1086922275122,1765.618889788652,1493.9879517586478
2018-01-21,1470.1235816956917,1268.0693987313618,1672.5621043423712,1098.1803130633796
2018-01-22,1648.9429850756665,1697.0562748473012,1761.970769574791,1469.6938456699068
2018-01-23,1676.9962208463458,1813.2843130626832,1775.999242911469,1570.350279396288
2018-01-24,1702.2174138298224,1941.133689367769,1788.6081002177204,1681.0710871346278
2018-01-25,1664.715815889892,1759.5453958336598,1769.8583203562268,1523.8110119040352
2018-01-26,1563.1969874298893,1444.9913494534428,1719.097018533085,1251.3992168768525
2018-01-27,1508.4223285915973,1332.6664999149307,1691.710946612961,1154.123043700276
2018-01-28,1481.8588740968532,1286.856635370744,1678.4293785568962,1114.4505372603955
2018-01-29,1647.0429442951406,1689.9704139417743,1761.020423720877,1463.557310118056
2018-01-30,1643.1476103602877,1675.708805251798,1759.0738165639868,1451.206394693739
2018-01-31,1683.968093922353,1846.0769214740383,1779.4850545517918,1598.7495113369073
2018-02-01,1666.3337787515607,1766.352173265396,1770.6675909806822,1529.7058540778353
2018-02-02,1598.1976016963197,1533.6231610139403,1736.5996950396275,1328.1566172707187
2018-02-03,1603.7345271020288,1549.193338482416,1739.3689000141862,1341.6407864998735
2018-02-04,1628.392658178512,1624.807680926629,1751.695759907944,1407.1247279470285
2018-02-05,1531.6256040608248,1376.953158242741,1703.315003675688,1192.476414861105
2018-02-06,1647.042944295141,1689.970413941774,1761.0204237208784,1463.5573101180562
2018-02-07,1699.987258304004,1928.7301521982315,1787.492524210942,1670.3293088490066
2018-02-08,1692.9414640661469,1891.0314645713415,1783.9707649801944,1637.6812876747415
2018-02-09,1611.6322450785121,1572.2595205621085,1743.3148938824168,1361.6166861492254
2018-02-10,1531.6256040607557,1376.9531582427405,1703.315003675877,1192.476414861105
2018-02-11,1614.1650440607125,1579.8734126499403,1744.5816706414244,1368.210510118965
2018-02-12,1675.5399242670048,1806.6543665015827,1775.2708234811437,1564.6085772486356
2018-02-13,1667.9270428171774,1773.1328207439406,1771.4645077925354,1535.5780670483673
2018-02-14,1679.8439595667905,1826.4720090927078,1777.4221888130514,1581.7711591756881
2018-02-15,1666.3337787516284,1766.352173265396,1770.6675909804962,1529.7058540778353
2018-02-16,1639.116758736891,1661.3247725831063,1757.0594874338176,1438.7494569938156
2018-02-17,1589.45514146412,1509.9668870534022,1732.2272929241929,1307.6696830622018
2018-02-18,1667.927042817179,1773.1328207439406,1771.464507792536,1535.5780670483673
