dia,cn_predic
2018-01-01,23
2018-01-02,50
2018-01-03,48
2018-01-04,64
2018-01-05,40
2018-01-06,43
2018-01-07,37
2018-01-08,60
2018-01-09,100
2018-01-10,95
2018-01-11,83
2018-01-12,76
2018-01-13,88
2018-01-14,69
2018-01-15,99
2018-01-16,119
2018-01-17,131
2018-01-18,137
2018-01-19,97
2018-01-20,124
2018-01-21,67
2018-01-22,120
2018-01-23,137
2018-01-24,157
2018-01-25,129
2018-01-26,87
2018-01-27,74
2018-01-28,69
2018-01-29,119
2018-01-30,117
2018-01-31,142
2018-02-01,130
2018-02-02,98
2018-02-03,100
2018-02-04,110
2018-02-05,79
2018-02-06,119
2018-02-07,155
2018-02-08,149
2018-02-09,103
2018-02-10,79
2018-02-11,104
2018-02-12,136
2018-02-13,131
2018-02-14,139
2018-02-15,130
2018-02-16,115
2018-02-17,95
2018-02-18,131
2018-02-19,139
2018-02-20,143
2018-02-21,130
2018-02-22,90
2018-02-23,101
2018-02-24,88
2018-02-25,100
2018-02-26,91
2018-02-27,93
2018-02-28,96
2018-03-01,92
2018-03-02,52
2018-03-03,39
2018-03-04,66
2018-03-05,108
2018-03-06,117
2018-03-07,135
2018-03-08,114
2018-03-09,85
2018-03-10,63
2018-03-11,100
2018-03-12,137
2018-03-13,135
2018-03-14,135
2018-03-15,116
2018-03-16,99
2018-03-17,72
2018-03-18,156
2018-03-19,107
2018-03-20,125
2018-03-21,133
2018-03-22,127
2018-03-23,109
2018-03-24,101
2018-03-25,116
2018-03-26,122
2018-03-27,151
2018-03-28,118
2018-03-29,156
2018-03-30,101
2018-03-31,76
2018-04-01,97
2018-04-02,150
2018-04-03,158
2018-04-04,159
2018-04-05,138
2018-04-06,88
2018-04-07,80
2018-04-08,88
2018-04-09,102
2018-04-10,85
2018-04-11,95
2018-04-12,117
2018-04-13,114
2018-04-14,121
2018-04-15,136
2018-04-16,118
2018-04-17,140
2018-04-18,127
2018-04-19,137
2018-04-20,83
2018-04-21,68
2018-04-22,92
2018-04-23,102
2018-04-24,149
2018-04-25,152
2018-04-26,150
2018-04-27,100
2018-04-28,70
2018-04-29,77
2018-04-30,70
2018-05-01,101
2018-05-02,133
2018-05-03,122
2018-05-04,71
2018-05-05,52
2018-05-06,68
2018-05-07,107
2018-05-08,127
2018-05-09,99
2018-05-10,78
2018-05-11,84
2018-05-12,111
2018-05-13,80
2018-05-14,96
2018-05-15,117
2018-05-16,103
2018-05-17,105
2018-05-18,97
2018-05-19,78
2018-05-20,82
2018-05-21,112
2018-05-22,115
2018-05-23,143
2018-05-24,131
2018-05-25,112
2018-05-26,127
2018-05-27,96
2018-05-28,137
2018-05-29,128
2018-05-30,110
2018-05-31,96
2018-06-01,92
2018-06-02,78
2018-06-03,96
2018-06-04,99
2018-06-05,132
2018-06-06,151
2018-06-07,138
2018-06-08,88
2018-06-09,77
2018-06-10,109
2018-06-11,105
2018-06-12,158
2018-06-13,141
2018-06-14,134
2018-06-15,96
2018-06-16,72
2018-06-17,75
2018-06-18,103
2018-06-19,110
2018-06-20,130
2018-06-21,126
2018-06-22,86
2018-06-23,76
2018-06-24,70
2018-06-25,84
2018-06-26,101
2018-06-27,126
2018-06-28,115
2018-06-29,106
2018-06-30,110
2018-07-01,132
2018-07-02,120
2018-07-03,142
2018-07-04,149
2018-07-05,112
2018-07-06,88
2018-07-07,68
2018-07-08,84
2018-07-09,108
2018-07-10,131
2018-07-11,165
2018-07-12,123
2018-07-13,79
2018-07-14,72
2018-07-15,98
2018-07-16,123
2018-07-17,135
2018-07-18,128
2018-07-19,135
2018-07-20,112
2018-07-21,103
2018-07-22,95
2018-07-23,106
2018-07-24,133
2018-07-25,128
2018-07-26,126
2018-07-27,108
2018-07-28,79
2018-07-29,86
2018-07-30,100
2018-07-31,119
2018-08-01,124
2018-08-02,134
2018-08-03,91
2018-08-04,73
2018-08-05,116
2018-08-06,141
2018-08-07,134
2018-08-08,165
2018-08-09,136
2018-08-10,89
2018-08-11,88
