dia,ocup
2018-01-01,14
2018-01-02,31
2018-01-03,30
2018-01-04,40
2018-01-05,25
2018-01-06,27
2018-01-07,23
2018-01-08,37
2018-01-09,62
2018-01-10,59
2018-01-11,52
2018-01-12,47
2018-01-13,55
2018-01-14,43
2018-01-15,62
2018-01-16,74
2018-01-17,82
2018-01-18,86
2018-01-19,61
2018-01-20,77
2018-01-21,42
2018-01-22,75
2018-01-23,86
2018-01-24,98
2018-01-25,81
2018-01-26,54
2018-01-27,46
2018-01-28,43
2018-01-29,74
2018-01-30,73
2018-01-31,89
2018-02-01,81
2018-02-02,61
2018-02-03,62
2018-02-04,69
2018-02-05,49
2018-02-06,74
2018-02-07,97
2018-02-08,93
2018-02-09,64
2018-02-10,49
2018-02-11,65
2018-02-12,85
2018-02-13,82
2018-02-14,87
2018-02-15,81
2018-02-16,72
2018-02-17,59
2018-02-18,82
2018-02-19,87
2018-02-20,89
2018-02-21,81
2018-02-22,56
2018-02-23,63
2018-02-24,55
2018-02-25,62
2018-02-26,57
2018-02-27,58
2018-02-28,60
2018-03-01,57
2018-03-02,32
2018-03-03,24
2018-03-04,41
2018-03-05,67
2018-03-06,73
2018-03-07,84
2018-03-08,71
2018-03-09,53
2018-03-10,39
2018-03-11,62
2018-03-12,86
2018-03-13,84
2018-03-14,84
2018-03-15,72
2018-03-16,62
2018-03-17,45
2018-03-18,98
2018-03-19,67
2018-03-20,78
2018-03-21,83
2018-03-22,79
2018-03-23,68
2018-03-24,63
2018-03-25,72
2018-03-26,76
2018-03-27,94
2018-03-28,74
2018-03-29,98
2018-03-30,63
2018-03-31,47
2018-04-01,61
2018-04-02,94
2018-04-03,99
2018-04-04,100
2018-04-05,86
2018-04-06,55
2018-04-07,50
2018-04-08,55
2018-04-09,64
2018-04-10,53
2018-04-11,59
2018-04-12,73
2018-04-13,71
2018-04-14,76
2018-04-15,85
2018-04-16,74
2018-04-17,88
2018-04-18,79
2018-04-19,86
2018-04-20,52
2018-04-21,42
2018-04-22,57
2018-04-23,64
2018-04-24,93
2018-04-25,95
2018-04-26,94
2018-04-27,62
2018-04-28,44
2018-04-29,48
2018-04-30,44
2018-05-01,63
2018-05-02,83
2018-05-03,76
2018-05-04,44
2018-05-05,32
2018-05-06,42
2018-05-07,67
2018-05-08,79
2018-05-09,62
2018-05-10,49
2018-05-11,52
2018-05-12,69
2018-05-13,50
2018-05-14,60
2018-05-15,73
2018-05-16,64
2018-05-17,66
2018-05-18,61
2018-05-19,49
2018-05-20,51
2018-05-21,70
2018-05-22,72
2018-05-23,89
2018-05-24,82
2018-05-25,70
2018-05-26,79
2018-05-27,60
2018-05-28,86
2018-05-29,80
2018-05-30,69
2018-05-31,60
2018-06-01,57
2018-06-02,49
2018-06-03,60
2018-06-04,62
2018-06-05,83
2018-06-06,94
2018-06-07,86
2018-06-08,55
2018-06-09,48
2018-06-10,68
2018-06-11,66
2018-06-12,99
2018-06-13,88
2018-06-14,84
2018-06-15,60
2018-06-16,45
2018-06-17,47
2018-06-18,64
2018-06-19,69
2018-06-20,81
2018-06-21,79
2018-06-22,54
2018-06-23,47
2018-06-24,44
2018-06-25,52
2018-06-26,63
2018-06-27,79
2018-06-28,72
2018-06-29,66
2018-06-30,69
2018-07-01,83
2018-07-02,75
2018-07-03,89
2018-07-04,93
2018-07-05,70
2018-07-06,55
2018-07-07,42
2018-07-08,52
2018-07-09,67
2018-07-10,82
2018-07-11,103
2018-07-12,77
2018-07-13,49
2018-07-14,45
2018-07-15,61
2018-07-16,77
2018-07-17,84
2018-07-18,80
2018-07-19,84
2018-07-20,70
2018-07-21,64
2018-07-22,59
2018-07-23,66
2018-07-24,83
2018-07-25,80
2018-07-26,79
2018-07-27,67
2018-07-28,49
2018-07-29,54
2018-07-30,62
2018-07-31,74
2018-08-01,77
2018-08-02,84
2018-08-03,57
2018-08-04,45
2018-08-05,72
2018-08-06,88
2018-08-07,84
2018-08-08,103
2018-08-09,85
2018-08-10,55
2018-08-11,55
